"Step","WassDiff det val - val/sample_bias","WassDiff det val - val/sample_bias__MIN","WassDiff det val - val/sample_bias__MAX"
"67","7.258664272197936","7.258664272197936","7.258664272197936"
"104","-3.444611367378625","-3.444611367378625","-3.444611367378625"
"140","6.678200733976975","6.678200733976975","6.678200733976975"
"176","8.915564353582873","8.915564353582873","8.915564353582873"
"213","55.216854053420796","55.216854053420796","55.216854053420796"
"249","27.75154908933612","27.75154908933612","27.75154908933612"
"286","-4.869188309038985","-4.869188309038985","-4.869188309038985"
"322","-4.881501554808923","-4.881501554808923","-4.881501554808923"
"358","-4.315952676901474","-4.315952676901474","-4.315952676901474"
"402","-3.5282434608152204","-3.5282434608152204","-3.5282434608152204"
"438","-4.758317015372011","-4.758317015372011","-4.758317015372011"
"475","-4.881367513465291","-4.881367513465291","-4.881367513465291"
"511","50.79081072588883","50.79081072588883","50.79081072588883"
"547","-2.129628944109977","-2.129628944109977","-2.129628944109977"
"584","-2.4753064872267543","-2.4753064872267543","-2.4753064872267543"
"620","-3.116241951188478","-3.116241951188478","-3.116241951188478"
"657","4.7682932718293936","4.7682932718293936","4.7682932718293936"
"693","-1.9943755438239437","-1.9943755438239437","-1.9943755438239437"
"729","6.212033942940084","6.212033942940084","6.212033942940084"
"773","30.195701556493415","30.195701556493415","30.195701556493415"
"809","-1.7751162240262424","-1.7751162240262424","-1.7751162240262424"
"846","-4.881502390422004","-4.881502390422004","-4.881502390422004"
"882","2.9323986670524174","2.9323986670524174","2.9323986670524174"
"918","19.807293015012377","19.807293015012377","19.807293015012377"
"955","17.568549197277544","17.568549197277544","17.568549197277544"
"991","-3.797655524538474","-3.797655524538474","-3.797655524538474"
"1028","-3.4411617126444285","-3.4411617126444285","-3.4411617126444285"
"1064","5.472702005475848","5.472702005475848","5.472702005475848"
"1100","-0.7262315136631926","-0.7262315136631926","-0.7262315136631926"
"1144","10.069064288619627","10.069064288619627","10.069064288619627"
"1180","6.443573638996528","6.443573638996528","6.443573638996528"
"1217","50.870358597131826","50.870358597131826","50.870358597131826"
"1253","-4.737328666976236","-4.737328666976236","-4.737328666976236"
"1289","14.906828489612087","14.906828489612087","14.906828489612087"
"1326","-0.4252235486556332","-0.4252235486556332","-0.4252235486556332"
"1362","3.0934972163465884","3.0934972163465884","3.0934972163465884"
"1399","1062.796362201483","1062.796362201483","1062.796362201483"
"1435","-1.9459244294492413","-1.9459244294492413","-1.9459244294492413"
"1471","-4.881502390422004","-4.881502390422004","-4.881502390422004"
"1515","-4.881502390422004","-4.881502390422004","-4.881502390422004"
"1551","1.9882791151517196","1.9882791151517196","1.9882791151517196"
"1588","4.992106565883987","4.992106565883987","4.992106565883987"
"1624","5.999839986450592","5.999839986450592","5.999839986450592"
"1660","5.895779000720965","5.895779000720965","5.895779000720965"
"1697","-3.6491131239745624","-3.6491131239745624","-3.6491131239745624"
"1733","-1.6633974991064928","-1.6633974991064928","-1.6633974991064928"
"1770","20.357874828029477","20.357874828029477","20.357874828029477"
"1806","3.8810884336508313","3.8810884336508313","3.8810884336508313"
"1842","-4.7412846868451615","-4.7412846868451615","-4.7412846868451615"
"1886","3.5710015148999283","3.5710015148999283","3.5710015148999283"
